species,abundance,extent,niche_breadth,range_size,habitat,abun_meas,rabin_class,mean_topo,mean_d_coast,mean_elev,num_patches,patch_isolation,occupied_area,rcp,change_driver,year,current_cells,nd_future_cells,current_km2,nd_future_km2,nd_change_prop,exposure,log10_patch_isolation,log10_num_patches,ext_res,abun_res,niche_res,nump_res,iso_res,topo_res,elev_res,dc_res,OTU,Genus,Species
Salvia leucophylla,773.3024533,74798.35587,3.508408672,w,r,l,w-r-l,0.426995929,17.36104814,340.7246621,1185,734.1830441,4026.996,rcp45,climate_change,2085,18840.4591281723,21295.2132505363,1373.46947044376,1552.4210459641,0.130291629607547,-0.130291629607547,2.86580435028668,3.07371835034612,-1.60671463100722,-2.11180408962114,-1.27033554899235,-1.87213091528315,-1.31187516698882,-1.44690656349287,-1.1826743151799,-1.38714874872812,Salvia,Salvia,leucophylla
Hazardia squarrosa,516.1920905,78261.07481,3.101645713,w,r,l,w-r-l,0.479744813,16.15679192,377.0447116,885,875.1142875,11340.9801,rcp45,climate_change,2085,76738.5358762193,62192.5252133678,5594.23926537639,4533.83508805451,-0.189552882352545,0.189552882352545,2.94206477438163,2.94694327069783,-0.364062948070909,-0.694130269854909,-0.0995672911374355,-0.38983825094496,-0.361685968296244,-0.427771008427279,-0.345229557116769,-0.37195863716939,Hazardia,Hazardia,squarrosa
Malosma laurina,1107.83056,81277.52884,3.383838142,w,r,l,w-r-l,0.459268453,15.85368021,333.1256831,1372,796.5012195,5503.3668,rcp45,climate_change,2085,55607.0480145679,48294.042477151,4053.753800262,3520.6356965843,-0.131512205709986,0.131512205709986,2.90118644507339,3.13735411137073,0.159616464215588,0.833983308443632,0.364345927461168,0.119880726064388,0.0780435403939623,0.152431260393172,0.0809697869345986,0.035826775107909,Malosma,Malosma,laurina
Erigeron petrophilus,86.24259886,93556.20608,7.507486268,w,b,s,w-b-s,0.684247111,92.74726922,1157.495109,6490,845.8193589,5893.3089,rcp45,climate_change,2085,3975.65705681344,4636.11201234278,289.825399441699,337.972565699788,0.166124730099006,-0.166124730099006,2.92727762094712,3.81224469680037,1.08027262637676,0.870385671237499,1.39600023929232,1.36374761135598,0.842772201963072,0.703725454025803,1.01625168564922,1.0491387770055,Erigeron,Erigeron,petrophilus
Ericameria ericoides,165.2796681,101614.8589,3.383438226,w,r,s,w-r-s,0.217879003,12.48096889,141.8454739,727,1214.840499,10916.4105,rcp45,climate_change,2085,43424.5350820731,47196.2246939069,3165.64860748313,3440.60478018582,0.086856188666274,-0.086856188666274,3.08451926151347,2.86153441085904,-1.33261839564308,-1.08164021429962,-0.883978856550178,-1.22039872060807,-1.02377702091455,-0.686869724203523,-0.861363515455745,-1.06516996338149,Ericameria,Ericameria,ericoides
Scutellaria californica,53.08143139,105211.6736,5.333256205,w,b,s,w-b-s,0.543290254,124.7258752,675.9736774,10162,699.8582649,30520.8243,rcp45,climate_change,2085,18138.1163098388,25203.5901347746,1322.26867898725,1837.34172082506,0.389537353506949,-0.389537353506949,2.84501009572222,4.00697919057428,0.0230497939799182,-0.0247243768753079,0.324956117968028,-0.026530033927637,-0.0811510822458478,-0.00601350826466663,-0.116138332950245,0.229702745820921,Scutellaria,Scutellaria,californica
Trichostema lanatum,212.7654797,105632.1367,4.247398741,w,b,l,w-b-l,0.496420154,23.46411591,572.1982988,635,1347.559337,11071.1772,rcp45,climate_change,2085,38823.9310049726,37793.3164473109,2830.2645702625,2755.13276900897,-0.026545857953686,0.026545857953686,3.12954789754286,2.80277372529198,-0.168781532541744,-0.184946566399395,0.0904526188724967,-0.0691504220897822,-0.153132792474605,-0.149977471180779,-0.204736362951329,-0.184446264624055,Trichostema,Trichostema,lanatum
Torreya californica,156.0730476,113348.9963,3.197970128,w,r,s,w-r-s,0.681091434,107.704975,764.7830679,100,3712.376849,21779.0208,rcp45,climate_change,2085,64477.1990952697,67693.3756352301,4700.38781404516,4934.84708380828,0.0498808351648196,-0.0498808351648196,3.56965205567561,2,-0.055646843485396,-0.0464518177573829,0.249466078231151,0.0826024812515622,-0.0674408627529711,-0.381625275360728,-0.108358386543207,0.0461742922307839,Torreya,Torreya,californica
Galium angustifolium,425.8747027,121748.5552,4.3447287,w,b,l,w-b-l,0.554510215,39.5935929,762.5756536,849,1381.966648,15241.4946,rcp45,climate_change,2085,115353.842694856,96355.8547074845,8409.29513245498,7024.34180817562,-0.164693152334998,0.164693152334998,3.14049756202201,2.92890769024395,-0.0643831888436615,-0.20874026571384,0.222537047582752,0.0744527752077664,-0.00531426707080588,-0.133143123655425,-0.0679575227919159,-0.0165664203501728,Galium,Galium,angustifolium
Abies magnifica,585.8334143,122318.8648,5.872668557,w,b,l,w-b-l,0.546991468,217.5423614,2354.650315,67,4496.735387,19920.1437,rcp45,climate_change,2085,186669.999983694,192729.708064795,13608.2429988113,14049.9957179235,0.0324621421847656,-0.0324621421847656,3.65289733200936,1.82607480270083,-1.8117702086067,-1.86725401306037,-1.73115390495384,-1.16480774714873,-1.47460510457799,-1.61699865071292,-1.6645834145827,-1.93796853371674,Abies_3,Abies,magnifica
